"first_name","last_name","email","sum_amount"
"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","211.55"
"Karl","Seal","karl.seal@sakilacustomer.org","208.58"
"Marion","Snyder","marion.snyder@sakilacustomer.org","194.61"
"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","191.62"
"Clara","Shaw","clara.shaw@sakilacustomer.org","189.60"
"Tommy","Collazo","tommy.collazo@sakilacustomer.org","183.63"
"Ana","Bradley","ana.bradley@sakilacustomer.org","167.67"
"Curtis","Irby","curtis.irby@sakilacustomer.org","167.62"
"Marcia","Dean","marcia.dean@sakilacustomer.org","166.61"
"Mike","Way","mike.way@sakilacustomer.org","162.67"
