"first_name","last_name","email","sum_amount"
"Brian","Wyman","brian.wyman@sakilacustomer.org","27.93"
"Leona","Obrien","leona.obrien@sakilacustomer.org","32.90"
"Caroline","Bowman","caroline.bowman@sakilacustomer.org","37.87"
"Anthony","Schwab","anthony.schwab@sakilacustomer.org","47.85"
"Tiffany","Jordan","tiffany.jordan@sakilacustomer.org","49.88"
"Kirk","Stclair","kirk.stclair@sakilacustomer.org","50.83"
"Bobbie","Craig","bobbie.craig@sakilacustomer.org","52.81"
"Jo","Fowler","jo.fowler@sakilacustomer.org","54.85"
"Penny","Neal","penny.neal@sakilacustomer.org","56.84"
"Johnny","Turpin","johnny.turpin@sakilacustomer.org","57.81"
